Tract_ID,CITY,Total,<5,5>18,18>25,25>65,65+
A250,Power City,2,0,0,1,1,0
A251,Power City,30,2,5,2,16,4
A252,Power City,85,5,13,10,48,8
A253,Power City,163,10,41,11,90,10
A254,Power City,85,0,1,81,2,1
A255,Power City,553,31,84,81,283,73
A256,Power City,506,35,80,48,267,76
A257,Power City,851,32,72,306,339,102
A258,Power City,1995,148,356,199,1123,169
A259,Power City,2511,144,300,286,1396,384
A260,Power City,2147,169,370,280,1136,191
A261,Power City,6,1,1,2,2,0
A262,Power City,2664,147,111,1132,1233,40
A263,Power City,1770,86,161,334,1061,129
A264,Power City,2011,144,404,276,1074,113
A265,Power City,2886,272,640,304,1453,216
A266,Power City,24,4,2,3,14,2
A267,Power City,2015,182,410,202,1054,167
A268,Power City,2775,257,412,349,1488,268
A269,Power City,1870,133,298,219,1015,204
A270,Power City,4296,233,621,375,2178,889
A271,Power City,3064,269,554,314,1667,260
A272,Power City,2235,130,331,138,1252,385
A273,Power City,3787,260,843,376,1877,430
A274,Power City,3171,293,693,394,1614,178
A275,Power City,3769,246,489,511,2061,462
A276,Power City,5516,508,1164,578,2836,430
A277,Power City,1596,107,211,105,1005,168
A278,Power City,2455,170,340,200,1432,313
A279,Power City,3022,194,498,294,1669,367
A280,Power City,2803,210,483,242,1632,236
A281,Power City,1649,125,194,361,894,75
A282,Power City,2501,184,410,416,1386,105
A283,Power City,3410,318,698,422,1788,184
A284,Power City,1916,166,338,234,1037,141
A285,Power City,3382,252,535,279,1994,322
A286,Power City,1889,149,252,211,1068,209
A287,Power City,3488,319,784,298,1785,302
A288,Power City,5262,404,967,501,2830,560
A289,Power City,4639,303,643,450,2533,710
A290,Power City,3425,220,456,588,1956,205
A291,Power City,3082,291,410,461,1653,267
A292,Power City,3985,352,794,443,2064,332
A293,Power City,5734,443,863,421,3355,652
